moment,stored,repaired,diff
tfr,1.9094681385221328,1.9094681385221328,0.0
childless_rate,0.029925780413844857,0.029925780413844857,0.0
own_rate,0.5585997563628965,0.5585997563628965,0.0
own_family_gap,0.08180689989627654,0.08180689989627654,0.0
housing_increment_0to1,0.7567846773119966,0.7567846773119966,0.0
prime30_55_childless_renter_mean_rooms,4.0439650945813295,4.0439650945813295,0.0
prime30_55_childless_owner_share_rooms_ge6,0.6560839132585714,0.6560839132585714,0.0
young_childless_renter_liquid_wealth_to_annual_gross_income_2535,0.3702374404655934,0.8080510283067233,0.43781358784112984
prime30_55_childless_owner_minus_renter_mean_rooms,2.311189797180062,2.311189797180062,0.0
own_rate_2534,0.3634546535539217,0.3634546535539217,0.0
prime30_55_parent_3plus_minus_1to2_mean_rooms,0.43913868193696626,0.43913868193696626,0.0
old_total_estate_wealth_to_annual_income_median_7684,6.502177801329015,6.4541845403393765,-0.04799326098963874
old_nonhousing_ge_1x_income_share_6575,0.6066968183787989,0.6066968183787984,-4.440892098500626e-16
old_age_own_rate,0.7503992549154236,0.7503992549154236,0.0
aggregate_mean_occupied_rooms_18_85,5.612270133975543,5.612270133975543,0.0
