moment,target,model,gap,weight,loss_contribution
tfr,1.918,1.9094681385221328,-0.008531861477867109,20.0,0.0014558532055502543
childless_rate,0.188,0.029925780413844857,-0.15807421958615514,20.0,0.4997491779554398
own_rate,0.57547241,0.5585997563628965,-0.016872653637103552,100.0,0.02846864407576637
own_family_gap,0.16766167,0.08180689989627654,-0.08585477010372347,45.0,0.3316968697303444
housing_increment_0to1,0.66443467,0.7567846773119966,0.09235000731199661,14.0,0.11939933390736157
prime30_55_childless_renter_mean_rooms,3.8052881,4.0439650945813295,0.23867699458132963,6.0,0.34180024645425633
prime30_55_childless_owner_share_rooms_ge6,0.59613112,0.6560839132585714,0.05995279325857139,25.0,0.08985843548762508
young_childless_renter_liquid_wealth_to_annual_gross_income_2535,0.17922556,0.8080510283067233,0.6288254683067233,12.0,4.745057635094038
prime30_55_childless_owner_minus_renter_mean_rooms,2.41876173,2.311189797180062,-0.10757193281993782,12.0,0.13886064876740659
own_rate_2534,0.34116609,0.3634546535539217,0.022288563553921725,80.0,0.039742405223776624
prime30_55_parent_3plus_minus_1to2_mean_rooms,0.36769955881,0.43913868193696626,0.07143912312696626,8.0,0.040828386505198766
old_total_estate_wealth_to_annual_income_median_7684,6.50131577436537,6.4541845403393765,-0.04713123402599351,18.585767349158665,0.04128555416233411
old_nonhousing_ge_1x_income_share_6575,0.608333139649131,0.6066968183787984,-0.0016363212703326413,9435.18732291246,0.025263160339033915
old_age_own_rate,0.76426097,0.7503992549154236,-0.013861715084576454,160.0,0.030743543213755904
aggregate_mean_occupied_rooms_18_85,5.779970481941968,5.612270133975543,-0.16770034796642452,6.0,0.16874044024835919
