scaling,parameter,coefficient,absolute_coefficient,smallest_singular_value
target_scaled,h_bar_0,-0.7467330824081739,0.7467330824081739,0.03236304642240686
target_scaled,theta0,-0.47376995347012524,0.47376995347012524,0.03236304642240686
target_scaled,theta1,-0.3089620134008168,0.3089620134008168,0.03236304642240686
target_scaled,tenure_choice_kappa,-0.19511510730803375,0.19511510730803375,0.03236304642240686
target_scaled,kappa_fert,-0.16771273216567448,0.16771273216567448,0.03236304642240686
target_scaled,h_bar_n,-0.16183585209996432,0.16183585209996432,0.03236304642240686
target_scaled,h_bar_jump,0.10876096691003968,0.10876096691003968,0.03236304642240686
target_scaled,c_bar_n,0.10218672993076147,0.10218672993076147,0.03236304642240686
target_scaled,c_bar_0,-0.07783503154683416,0.07783503154683416,0.03236304642240686
target_scaled,psi_child,0.02861649444485508,0.02861649444485508,0.03236304642240686
target_scaled,beta_annual,0.027256453714342335,0.027256453714342335,0.03236304642240686
target_scaled,chi,-0.013427802292953444,0.013427802292953444,0.03236304642240686
target_scaled,alpha_cons,0.0037779024687130455,0.0037779024687130455,0.03236304642240686
target_scaled,H0,0.00036900985282608965,0.00036900985282608965,0.03236304642240686
smm_weighted,h_bar_0,-0.5765950645397382,0.5765950645397382,0.18355877667918233
smm_weighted,theta1,-0.5703368686481598,0.5703368686481598,0.18355877667918233
smm_weighted,theta0,-0.49115871652585336,0.49115871652585336,0.18355877667918233
smm_weighted,tenure_choice_kappa,0.2425150331151767,0.2425150331151767,0.18355877667918233
smm_weighted,h_bar_n,0.16514410727435103,0.16514410727435103,0.18355877667918233
smm_weighted,kappa_fert,-0.07579993710264234,0.07579993710264234,0.18355877667918233
smm_weighted,h_bar_jump,0.07385637244135698,0.07385637244135698,0.18355877667918233
smm_weighted,beta_annual,-0.0409563023999675,0.0409563023999675,0.18355877667918233
smm_weighted,c_bar_n,0.03879669537644056,0.03879669537644056,0.18355877667918233
smm_weighted,H0,0.017156046162014334,0.017156046162014334,0.18355877667918233
smm_weighted,alpha_cons,-0.011064499723873897,0.011064499723873897,0.18355877667918233
smm_weighted,c_bar_0,-0.010799170378040403,0.010799170378040403,0.18355877667918233
smm_weighted,psi_child,0.003806936782661893,0.003806936782661893,0.18355877667918233
smm_weighted,chi,-0.0003480222133124678,0.0003480222133124678,0.18355877667918233
