age,ownership_rate,fertility,mean_housing_services,mean_liquid_wealth,mass
18.0,0.07077313092415852,0.025407205603412853,3.2378053799095965,-0.05331902530206794,0.06173345608686203
22.0,0.12090497966386499,0.056112071018395875,3.6561126229315537,-0.07146375412338321,0.061733456242313994
26.0,0.16765805660316468,0.10040786803527853,4.192622671677541,-0.24941643375032524,0.061733456227579704
30.0,0.26843016745889997,0.16591085877064732,4.669583826716679,-0.16965017707199923,0.061733456154931234
34.0,0.39184896616440373,0.24826033277066933,5.193908849069478,-0.3571757343098406,0.061733456138347124
38.0,0.5662734827300948,0.3767966895280502,5.682420149030731,-0.3603682902435401,0.06173345608802854
42.0,0.7445221376068404,0.5144277026949182,6.09852764130855,-0.45680983635585715,0.0617334560625213
46.0,0.8356707288973076,0.0,6.211098589539254,-0.25175688759956383,0.061733456048449126
50.0,0.8848305631573772,0.0,6.305825156842463,0.11513800995773754,0.061733456076526874
54.0,0.9166044296874469,0.0,6.395458297302731,0.5882451762688214,0.06173345616443371
58.0,0.9350271058273452,0.0,6.467237756044963,1.1527988150065749,0.06173345616473617
62.0,0.9462294956320781,0.0,6.511351030206263,1.619070351938834,0.06173345620146863
66.0,0.9521244783864324,0.0,6.525366368486601,2.1511158951655767,0.0617334562767585
70.0,0.954863364394873,0.0,6.517732683013619,1.0528821421516807,0.05797551273352499
74.0,0.9552290377110922,0.0,6.50115393258937,-0.0949073439108938,0.05325037135994639
78.0,0.9505325232850983,0.0,6.475667432856886,-1.2813211973339436,0.04712403295037485
82.0,0.9083989682057036,0.0,6.410312242793251,-2.3731376930432084,0.03911515302315303
