moment,target,model,gap_model_minus_target,weight,loss_contribution
old_age_own_rate,0.76426097,0.9539983711574811,0.18973740115748106,160.0,5.760045023679183
own_rate,0.57547241,0.658311496455828,0.08283908645582794,100.0,0.6862314244836136
prime30_55_childless_owner_share_rooms_ge6,0.59613112,0.7583779556622434,0.1622468356622434,25.0,0.6581008920602754
prime30_55_parent_3plus_minus_1to2_mean_rooms,0.36769955881,0.6016665648637796,0.23396700605377957,8.0,0.43792447937415463
own_rate_2534,0.34116609,0.275979063355956,-0.06518702664404397,80.0,0.33994787541530386
tfr,1.918,2.0346245418569757,0.1166245418569758,20.0,0.27202567526698995
young_childless_renter_liquid_wealth_to_annual_gross_income_2535,0.17922556,0.32259353337070473,0.14336797337070473,12.0,0.2466525094610772
prime30_55_childless_renter_mean_rooms,3.8052881,3.9681153730989633,0.1628272730989635,6.0,0.15907632518906664
prime30_55_childless_owner_minus_renter_mean_rooms,2.41876173,2.3132472995875792,-0.1055144304124207,12.0,0.13359954030309085
own_family_gap,0.16766167,0.21768525321853405,0.050023583218534035,45.0,0.112606149510972
old_total_estate_wealth_to_annual_income_median_7684,6.50131577436537,6.4305369605457745,-0.0707788138195955,18.585767349158665,0.093108012570313
aggregate_mean_occupied_rooms_18_85,5.779970481941968,5.672127521787135,-0.10784296015483275,6.0,0.06978062432974105
old_nonhousing_ge_1x_income_share_6575,0.608333139649131,0.6099961319373566,0.0016629922882255288,9435.18732291246,0.026093419563466655
housing_increment_0to1,0.66443467,0.6808310748094978,0.016396404809497778,14.0,0.003763789269476906
childless_rate,0.188,0.18882652375386613,0.0008265237538661319,20.0,1.3662830314099242e-05
