age,renter_share,owner_share,renter_mass,owner_mass,mass
18.0,0.9292268690758416,0.07077313092415852,0.05736438611682576,0.004369069970036276,0.06173345608686203
22.0,0.879095020336135,0.12090497966386499,0.05426957397075692,0.007463882271557073,0.061733456242313994
26.0,0.8323419433968354,0.16765805660316468,0.05138334492906716,0.010350111298512547,0.061733456227579704
30.0,0.7315698325410999,0.26843016745889997,0.04516233418144637,0.016571121973484856,0.061733456154931234
34.0,0.6081510338355962,0.39184896616440373,0.037543265172780234,0.024190190965566884,0.061733456138347124
38.0,0.4337265172699052,0.5662734827300948,0.026775436908095245,0.0349580191799333,0.06173345608802854
42.0,0.25547786239315945,0.7445221376068404,0.01577153139299497,0.04596192466952634,0.0617334560625213
46.0,0.1643292711026924,0.8356707288973076,0.010144613835091743,0.05158884221335738,0.061733456048449126
50.0,0.11516943684262285,0.8848305631573772,0.007109807370682394,0.054623648705844484,0.061733456076526874
54.0,0.0833955703125531,0.9166044296874469,0.005148296784197945,0.056585159380235756,0.06173345616443371
58.0,0.06497289417265496,0.9350271058273452,0.004011001314303637,0.057722454850432516,0.06173345616473617
62.0,0.053770504367921884,0.9462294956320781,0.0033194390763279834,0.05841401712514067,0.06173345620146863
66.0,0.047875521613567514,0.9521244783864324,0.0029555214202581764,0.05877793485650032,0.0617334562767585
70.0,0.045136635605127165,0.954863364394873,0.0026168195922735274,0.055358693141251476,0.05797551273352499
74.0,0.04477096228890765,0.9552290377110922,0.002384070368026488,0.0508663009919199,0.05325037135994639
78.0,0.04946747671490191,0.9505325232850983,0.0023311070026849384,0.04479292594768991,0.04712403295037485
82.0,0.09160103179429636,0.9083989682057036,0.003582988375712608,0.03553216464744042,0.03911515302315303
